pricePerSqm,latitude,longitude,rooms,buildingMaterial,type,buildYear,hasElevator,hasBalcony,condition,hasParkingSpace,squareMeters,hasSecurity,floorCount,floor,hasStorageRoom
21290.322580645163,52.26,21.05485,1.0,brick,tenement,1936.0,yes,yes,not known,no,31.0,yes,3.0,3.0,no
14964.459408903855,52.26061,20.92681,3.0,brick,blockOfFlats,2021.0,yes,yes,not known,no,80.19,no,6.0,4.0,no
17868.42105263158,52.20663,21.0477,2.0,brick,blockOfFlats,1962.0,yes,yes,not known,no,38.0,no,8.0,3.0,yes
14689.265536723164,52.17817,21.0584,3.0,concreteSlab,blockOfFlats,1986.0,no,yes,not known,no,53.1,no,4.0,2.0,yes
17463.414634146342,52.2296649611683,20.9544662279945,2.0,brick,tenement,1960.0,no,yes,premium,no,41.0,no,3.0,2.0,no
14242.492155983864,52.2343,21.1025,2.0,brick,apartmentBuilding,2022.0,yes,no,not known,yes,44.62,no,7.0,3.0,no
24336.633663366338,52.20628,21.01135,3.0,brick,tenement,1939.0,no,no,not known,no,50.5,no,3.0,1.0,yes
22881.35593220339,52.19921902,21.01505658,2.0,brick,blockOfFlats,1950.0,no,no,not known,no,59.0,yes,4.0,1.0,yes
15937.5,52.22844,20.95353,2.0,concreteSlab,blockOfFlats,1962.0,no,yes,not known,no,48.0,no,5.0,4.0,yes
19000.0,52.23127999999999,21.06589,2.0,concreteSlab,blockOfFlats,1980.0,no,yes,not known,no,40.0,yes,4.0,1.0,yes
18774.860779634048,52.17124999999999,20.98873,3.0,brick,blockOfFlats,2022.0,no,yes,not known,no,62.85,yes,6.0,2.0,no
22380.0,52.2551648,20.97883,2.0,brick,apartmentBuilding,2020.0,no,yes,not known,no,50.0,no,6.0,1.0,no
25263.157894736843,52.2385045,21.0221415,3.0,brick,tenement,1936.0,no,yes,low,no,95.0,no,4.0,2.0,yes
22413.793103448275,52.25184,21.00004,3.0,concreteSlab,blockOfFlats,1960.0,yes,yes,not known,no,58.0,no,9.0,7.0,yes
13840.0,52.2173534,20.9780522,2.0,brick,tenement,1950.0,no,no,low,no,37.5,no,3.0,1.0,yes
28399.56611773987,52.221869,21.02962715,5.0,brick,tenement,1913.0,yes,no,not known,no,101.41,no,7.0,1.0,yes
17465.305053678974,52.2933234,20.928664,2.0,concreteSlab,blockOfFlats,1969.0,yes,no,not known,no,38.19,no,9.0,1.0,yes
14703.921568627451,52.29654,20.93995,3.0,concreteSlab,blockOfFlats,1969.0,no,yes,not known,no,51.0,no,4.0,4.0,yes
14280.0,52.2546,20.92645,2.0,brick,blockOfFlats,1990.0,yes,no,not known,no,50.0,no,10.0,10.0,no
11771.084337349397,52.2419936,21.08952,4.0,brick,blockOfFlats,1983.0,yes,yes,low,no,83.0,no,13.0,8.0,yes
16773.333333333332,52.24684495,21.09643652,2.0,concreteSlab,blockOfFlats,1967.0,yes,yes,low,no,37.5,no,10.0,8.0,yes
19558.823529411766,52.2835758,20.9552473,3.0,brick,tenement,1937.0,no,no,premium,no,68.0,no,4.0,1.0,yes
14285.714285714286,52.2492322,21.0376432,4.0,brick,blockOfFlats,1983.0,yes,yes,not known,no,91.0,no,6.0,5.0,yes
16808.510638297874,52.19919,21.03503,2.0,brick,blockOfFlats,1964.0,no,yes,not known,no,47.0,no,4.0,3.0,yes
12933.333333333334,52.2897122,21.062255,3.0,brick,blockOfFlats,2002.0,no,yes,not known,no,75.0,no,3.0,1.0,no
20282.186948853614,52.246273,20.964312,3.0,brick,blockOfFlats,2014.0,yes,no,not known,no,56.7,no,5.0,4.0,no
16880.34188034188,52.20096578,21.02981687,4.0,brick,tenement,1938.0,no,yes,premium,no,117.0,no,3.0,3.0,no
15612.272603855554,52.2462465,20.90311939,3.0,brick,apartmentBuilding,2010.0,yes,no,premium,yes,73.66,no,4.0,2.0,no
19008.26446280992,52.2268162,20.99017645,2.0,brick,apartmentBuilding,1965.0,yes,yes,premium,no,36.3,no,11.0,9.0,yes
22903.297189643727,52.2216785,20.9331709,2.0,brick,apartmentBuilding,2015.0,yes,yes,premium,no,45.19,no,5.0,2.0,no
14796.747967479674,52.32061,20.97536,3.0,brick,blockOfFlats,2017.0,no,yes,not known,no,61.5,no,4.0,2.0,no
12948.960302457468,52.22929,21.10196,2.0,concreteSlab,blockOfFlats,1990.0,yes,yes,not known,no,52.9,no,11.0,7.0,yes
17685.589519650654,52.23083,21.10977,3.0,brick,apartmentBuilding,2015.0,yes,yes,not known,no,68.7,yes,13.0,10.0,no
14642.857142857143,52.22429,21.06844,3.0,concreteSlab,blockOfFlats,1974.0,no,no,not known,no,56.0,no,4.0,4.0,no
13000.0,52.33408085,20.94743414,2.0,brick,blockOfFlats,2007.0,no,yes,not known,no,50.0,no,4.0,2.0,no
15142.857142857143,52.20735915,20.86673121,3.0,brick,apartmentBuilding,2013.0,yes,yes,premium,yes,70.0,no,3.0,2.0,no
14993.808049535604,52.20777,21.04783,2.0,brick,tenement,1957.0,yes,no,not known,no,32.3,no,5.0,4.0,no
18329.547440153765,52.2303165,21.0827654,3.0,brick,apartmentBuilding,2016.0,yes,no,premium,no,57.23,no,5.0,3.0,no
14530.612244897959,52.2313,20.9544,2.0,concreteSlab,blockOfFlats,1970.0,no,yes,low,yes,49.0,no,4.0,2.0,yes
22000.0,52.27449115,20.9341793,2.0,brick,blockOfFlats,2016.0,no,no,not known,no,50.0,no,4.0,2.0,no
17500.0,52.2334880839292,20.9873561503221,2.0,brick,apartmentBuilding,2016.0,yes,no,not known,no,44.42,yes,22.0,6.0,no
11138.59649122807,52.22932,21.06328,3.0,brick,blockOfFlats,1965.0,yes,yes,not known,no,57.0,no,9.0,3.0,yes
18474.758324382386,52.2090644,21.0301863,3.0,concreteSlab,blockOfFlats,1967.0,yes,yes,not known,no,93.1,no,5.0,1.0,no
17000.0,52.196,21.0133,3.0,brick,tenement,1900.0,yes,yes,low,no,70.0,no,5.0,4.0,no
25000.0,52.1830371,20.9935878,2.0,brick,apartmentBuilding,2022.0,yes,yes,not known,yes,42.0,yes,8.0,6.0,no
13977.06054947986,52.20297,20.88462,2.0,brick,blockOfFlats,2023.0,yes,yes,not known,no,37.49,no,7.0,6.0,no
